corp_name,corp_uid,original_name,lat,lng,location,nace_code,postcode,street,nh3_yeartotal,nh3_2015,has_local_subsidies,has_subsidies,local_subsidies,total_subsidies
"Kathmann, Paul",3e48cbfd-20ac-47c7-9afa-12eae958a729,"Kathmann, Paul",52.773638190099796,7.994573196340799,Lastrup,146.0,49688,Landwehr 43,62800.0,16000.0,1,1,31215.02,31215.02
Ferkelgut Pinnow GmbH & Co. Produktions KG,79f5be3d-7709-4f50-af9a-0059953b6a52,Ferkelgut Pinnow GmbH & Co. Produktions KG,53.20713291871351,11.6117165156287,Karstädt,146.0,19357,Pinnower Lindenstraße 1,44900.0,11900.0,0,0,0.0,0.0
"Vorwerk GbR, Franz-Josef Vorwerk , Franz-Josef",e0244caf-6836-4e40-978c-b40038d5ddbd,"Vorwerk GbR, Franz-Josef Vorwerk , Franz-Josef",52.8284180428278,8.08614946026749,Cloppenburg,146.0,49661,Cappelner Damm 90,59000.0,11800.0,1,1,68458.31999999999,68458.31999999999
Andreas Meyer,3a9ab8de-7880-4ba6-b259-532801e7a653,"Meyer, Andreas",52.180033956351394,6.9868023074935,Gronau,146.0,48599,Kottiger Hook 62,96600.0,17600.0,1,1,140335.98,140335.98
Theodor Haseke,5eb3ec98-1682-4479-862d-4a1ee7504ff3,Theodor Haseke,51.6122670298487,6.90295982090482,Bottrop,146.0,46244,Grotenweg None,67300.0,14200.0,1,1,3672.9399999999996,3672.9399999999996
"Brünjes KG, Brokser Agrar KG, Mys-Brü GbR",b0b64aed-a774-412c-a0ba-a9fb225e183c,Hauke Brünjes,52.8432713000593,9.00599823576335,Bruchhausen-Vilsen,146.0,27305,Am Hauptkanal None,58700.0,14700.0,1,1,1344.02,1344.02
"Hüttemann, Hugo",c4fae8d2-c151-4682-a9b9-0443b49346a8,"Hüttemann, Hugo",52.074744029259215,7.85319970035627,Ostbevern,146.0,48346,Brock 41,11000.0,11000.0,1,1,16899.8,16899.8
Zucht Mast GmbH Schlenzer,61d84ac6-43f2-413b-8631-c5bda09e8e7c,Zucht Mast GmbH Schlenzer,51.952745987810495,13.184110744905901,Niederer Fläming,146.0,14913,Fröhdener Weg 4,65700.0,14300.0,1,1,1784870.7500000002,1784870.7500000002
"Agrargenossenschaft ""Ländeken"" Meinsdorf e.G.",79a0ccff-a9b0-4dde-a0a7-f35ca3ddb91e,"Agrargenossenschaft ""Ländeken"" Meinsdorf e.G.",51.85158144478379,13.2655646140655,Niederer Fläming,146.0,14913,Dorfstraße 67,46300.0,12000.0,1,1,6025087.4399999995,6025087.4399999995
"Altenau, Hubertus",f5476ad2-2420-4523-bea6-75c3c4ab05e5,"Altenau, Hubertus",51.8157288776413,7.746800653070902,Drensteinfurt,146.0,48317,Natorp 12,56400.0,13100.0,1,1,82349.91,82349.91
Spreewälder Ferkelproduktions GmbH,fcb252b6-bd11-4d3b-baad-7cee10753fba,Spreewälder Ferkelproduktions GmbH,51.974320974156896,13.8395760833042,Lübben (Spreewald),146.0,15907,Hauptstraße 35,44600.0,13400.0,1,1,214101.19,214101.19
GlüxxSwin GbR,4c880e63-896f-46cd-b290-dcaf8329220f,agrinova GmbH & Co.KG,52.9365285481143,10.810411998092999,Suhlendorf,146.0,29562,Außenbereich None,109000.0,21800.0,0,0,0.0,0.0
Thijssen - Tierzucht GmbH ehem. Ferkelhof Pätzold,d6e8318e-8d55-4612-8a8b-1ba7c1ef8925,Thijssen - Tierzucht GmbH ehem. Ferkelhof Pätzold,51.3536879366236,13.988625932291301,Schwepnitz,146.0,01936,Großgraber Weg 3,22000.0,11000.0,0,0,0.0,0.0
Ansgar gr. Austing,b7fb70fe-2ec3-453e-8023-efbe8b90efe7,Ansgar gr. Austing,52.5305903309485,8.38561765315627,Lembruch,146.0,49459,Rottweg 91,65200.0,13100.0,0,0,0.0,0.0
Hubertushof-Bodenei GmbH & Co. KG,676d8e1a-ab0d-45ff-b9fa-eb9b63c74ad3,Farm Hubertus,49.2246535766769,12.2895533891786,Nittenau,147.0,93149,Sulzmühl None,37800.0,18900.0,0,0,0.0,0.0
Schweinezucht Lutten GmbH & Co.KG,deff41a5-955f-4fe5-94ae-e26aea560495,Schweinezucht Lutten,52.7603989777702,8.32348244145123,Goldenstedt,146.0,49424,Weststraße 20,61300.0,12800.0,0,0,0.0,0.0
"Dr. Peus, Charlotte",33125425-b1ce-4a92-8531-c268e007a5a9,"Dr. Peus, Charlotte",51.547029929669705,8.42540498899474,Rüthen,146.0,59602,Gut Ringe 1,19200.0,19200.0,0,0,0.0,0.0
Detlev Tucholski,6c476cb0-7b3d-409d-b2fb-b88cfb6d9e90,Ferkelhof Rohlstorf KG,53.9206990706371,11.531483086531301,Hornstorf,146.0,23974,Bahnhofsweg 4,18200.0,18200.0,1,1,205599.55,205599.55
"Behrens ,Heinz",4e3d35b7-3980-44f6-902a-cc950aff274f,"Behrens, Heinz",52.96497633182121,8.06327581627625,Garrel,147.0,49681,Schuldamm 1 A,97400.0,18200.0,1,1,70697.02,70697.02
Wocheslander Robert,7989e27c-dde9-40c1-a89a-2f164d9af3fc,Wocheslander Robert,48.740474127005704,12.1149695816557,Neufahrn i.NB,146.0,84088,Walpersdorf 2,69800.0,17700.0,1,1,111138.87,111138.87
Markus Lüns,385122f4-d79f-448f-9f07-3311ac5d1f77,Martin Lüns,51.61163349018029,8.75434332765502,Lichtenau,146.0,33165,Dammstr. 200,15100.0,15100.0,1,1,71003.35,71003.35
"Lemmermöhle, Heiner",15a42958-afa6-4e45-812b-7da52a82077a,"Lemmermöhle, Heiner",52.5138307321207,7.939446068243162,Alfhausen,146.0,49594,Mühlenstraße 1,31200.0,10400.0,1,1,109277.79,109277.79
"Schulze Pals, Paul",5299a653-62dc-4cb4-ab5e-9bb6c1ec3392,"Schulze Pals, Paul",51.77851718552829,7.48388708102033,Lüdinghausen,146.0,59348,Westrup 13,93600.0,17600.0,1,1,23181.57,23181.57
